"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 19","1,322.10","1,325.75","1,328.05","1,320.65","-","-0.23%"
"Jan 19","1,325.20","1,291.40","1,331.10","1,281.50","1.44M","2.91%"
"Dec 18","1,287.70","1,233.30","1,292.60","1,233.00","112.60K","4.54%"
"Nov 18","1,231.80","1,228.50","1,251.00","1,209.30","70.85K","0.41%"
"Oct 18","1,226.80","1,203.50","1,257.30","1,199.20","36.62K","2.07%"
"Sep 18","1,201.90","1,211.70","1,223.50","1,190.00","54.27K","-0.40%"
"Aug 18","1,206.70","1,232.70","1,233.70","1,167.10","6.04M","-1.39%"
"Jul 18","1,223.70","1,249.90","1,262.30","1,211.70","65.29K","-2.21%"
"Jun 18","1,251.30","1,298.60","1,307.70","1,244.80","4.02K","-3.75%"
"May 18","1,300.10","1,313.20","1,319.90","1,285.20","55.56K","-1.22%"
"Apr 18","1,316.20","1,327.00","1,365.40","1,309.60","5.56K","-0.50%"
"Mar 18","1,322.80","1,310.40","1,352.20","1,301.80","65.42K","0.55%"
"Feb 18","1,315.50","1,343.80","1,361.40","1,307.00","9.63K","-1.76%"
"Jan 18","1,339.00","1,302.30","1,357.20","1,302.30","57.79K","2.50%"
"Dec 17","1,306.30","1,274.10","1,305.00","1,236.50","7.21K","2.60%"
"Nov 17","1,273.20","1,272.20","1,296.20","1,265.30","50.77K","0.49%"
"Oct 17","1,267.00","1,275.00","1,303.80","1,260.50","3.10K","-1.13%"
"Sep 17","1,281.50","1,320.20","1,355.80","1,277.00","7.08K","-2.64%"
"Aug 17","1,316.20","1,268.40","1,323.80","1,251.40","8.35K","3.92%"
"Jul 17","1,266.60","1,236.00","1,270.80","1,208.70","72.32K","2.09%"
"Jun 17","1,240.70","1,268.00","1,295.20","1,238.10","8.59K","-2.46%"
"May 17","1,272.00","1,268.70","1,273.20","1,214.00","133.26K","0.47%"
"Apr 17","1,266.10","1,247.50","1,294.80","1,243.00","8.01K","1.51%"
"Mar 17","1,247.30","1,247.80","1,257.70","1,196.20","60.39K","-0.42%"
"Feb 17","1,252.60","1,211.90","1,263.10","1,197.90","9.92K","3.64%"
"Jan 17","1,208.60","1,155.20","1,219.00","1,146.50","55.32K","5.10%"
"Dec 16","1,150.00","1,172.70","1,186.70","1,123.90","8.61K","-1.78%"
"Nov 16","1,170.80","1,279.30","1,318.60","1,167.90","52.71K","-7.92%"
"Oct 16","1,271.50","1,313.50","1,316.80","1,249.50","5.50K","-3.18%"
"Sep 16","1,313.30","1,305.30","1,350.50","1,301.50","8.18K","0.49%"
"Aug 16","1,306.90","1,348.80","1,366.00","1,306.30","11.45K","-3.12%"
"Jul 16","1,349.00","1,324.50","1,374.90","1,312.80","66.27K","2.32%"
"Jun 16","1,318.40","1,215.70","1,355.60","1,205.40","12.33K","8.53%"
"May 16","1,214.80","1,292.10","1,304.40","1,199.00","72.11K","-5.77%"
"Apr 16","1,289.20","1,232.30","1,295.50","1,209.20","9.44K","4.46%"
"Mar 16","1,234.20","1,240.50","1,280.70","1,210.00","55.06K","0.02%"
"Feb 16","1,233.90","1,116.70","1,260.80","1,115.30","12.63K","10.52%"
"Jan 16","1,116.40","1,063.40","1,125.70","1,063.20","60.86K","5.29%"
"Dec 15","1,060.30","1,064.60","1,098.80","1,046.20","9.97K","-0.52%"
"Nov 15","1,065.80","1,137.90","1,138.70","1,051.10","57.85K","-6.63%"
"Oct 15","1,141.50","1,115.20","1,189.00","1,105.80","4.19K","2.33%"
"Sep 15","1,115.50","1,133.50","1,155.90","1,098.20","4.78K","-1.42%"
"Aug 15","1,131.60","1,095.50","1,169.00","1,080.50","12.82K","3.35%"
"Jul 15","1,094.90","1,173.10","1,173.10","1,078.60","57.76K","-6.54%"
"Jun 15","1,171.50","1,190.60","1,204.00","1,163.30","5.98K","-1.50%"
"May 15","1,189.40","1,178.10","1,228.10","1,170.00","57.93K","0.59%"
"Apr 15","1,182.40","1,182.90","1,224.20","1,174.60","7.45K","-0.06%"
"Mar 15","1,183.10","1,214.30","1,222.70","1,144.30","42.95K","-2.43%"
"Feb 15","1,212.60","1,284.10","1,284.70","1,191.60","7.75K","-5.15%"
"Jan 15","1,278.50","1,184.00","1,303.50","1,169.50","78.26K","7.99%"
"Dec 14","1,183.90","1,160.00","1,238.00","1,141.70","11.02K","0.74%"
"Nov 14","1,175.20","1,166.40","1,202.40","1,132.90","88.66K","0.35%"
"Oct 14","1,171.10","1,207.70","1,247.00","1,161.40","3.88K","-3.25%"
"Sep 14","1,210.50","1,284.50","1,286.40","1,204.00","8.21K","-5.86%"
"Aug 14","1,285.80","1,284.10","1,322.10","1,272.00","8.89K","0.35%"
"Jul 14","1,281.30","1,326.70","1,343.70","1,280.60","43.10K","-3.06%"
"Jun 14","1,321.80","1,250.00","1,328.70","1,240.50","10.00K","6.12%"
"May 14","1,245.60","1,288.70","1,314.20","1,241.80","42.32K","-3.86%"
"Apr 14","1,295.60","1,285.10","1,330.00","1,272.40","7.94K","0.95%"
"Mar 14","1,283.40","1,335.90","1,391.40","1,282.40","70.78K","-2.88%"
"Feb 14","1,321.40","1,242.40","1,344.00","1,241.20","11.52K","6.56%"
"Jan 14","1,240.10","1,204.30","1,269.40","1,204.30","52.67K","3.18%"
"Dec 13","1,201.90","1,251.40","1,267.00","1,182.00","14.56K","-3.89%"
"Nov 13","1,250.60","1,325.70","1,325.70","1,229.00","92.25K","-5.52%"
"Oct 13","1,323.60","1,328.00","1,359.70","1,254.10","2.56K","-0.22%"
"Sep 13","1,326.50","1,393.00","1,414.40","1,292.10","4.59K","-4.99%"
"Aug 13","1,396.10","1,323.00","1,428.00","1,274.00","10.14K","6.38%"
"Jul 13","1,312.40","1,234.70","1,345.10","1,208.90","51.81K","7.24%"
"Jun 13","1,223.80","1,389.10","1,422.70","1,183.20","12.13K","-12.12%"
"May 13","1,392.60","1,475.80","1,487.10","1,342.90","53.45K","-5.41%"
"Apr 13","1,472.20","1,596.80","1,602.60","1,323.00","14.30K","-7.69%"
"Mar 13","1,594.80","1,579.60","1,613.10","1,561.80","58.37K","1.08%"
"Feb 13","1,577.70","1,663.90","1,683.40","1,554.50","10.81K","-4.99%"
"Jan 13","1,660.60","1,672.80","1,694.70","1,625.70","51.88K","-0.85%"
"Dec 12","1,674.80","1,714.90","1,722.30","1,635.80","6.82K","-2.11%"
"Nov 12","1,710.90","1,722.30","1,750.50","1,674.30","69.65K","-0.38%"
"Oct 12","1,717.50","1,766.00","1,794.80","1,698.60","2.63K","-3.03%"
"Sep 12","1,771.10","1,689.10","1,785.30","1,687.70","10.33K","5.13%"
"Aug 12","1,684.60","1,613.40","1,690.00","1,583.10","11.42K","4.60%"
"Jul 12","1,610.50","1,597.10","1,627.50","1,557.20","59.61K","0.44%"
"Jun 12","1,603.50","1,560.00","1,639.70","1,545.50","10.99K","2.62%"
"May 12","1,562.60","1,665.00","1,670.50","1,528.50","86.46K","-6.06%"
"Apr 12","1,663.40","1,670.40","1,682.80","1,613.00","9.55K","-0.35%"
"Mar 12","1,669.30","1,698.60","1,724.60","1,633.80","61.45K","-2.37%"
"Feb 12","1,709.90","1,738.20","1,790.40","1,669.00","8.89K","-1.61%"
"Jan 12","1,737.80","1,568.90","1,747.70","1,566.00","62.70K","10.98%"
"Dec 11","1,565.80","1,747.00","1,762.90","1,525.00","10.60K","-10.30%"
"Nov 11","1,745.50","1,706.70","1,797.00","1,674.40","81.48K","1.24%"
"Oct 11","1,724.20","1,627.80","1,752.00","1,596.60","2.24K","6.41%"
"Sep 11","1,620.40","1,825.80","1,911.60","1,562.40","10.61K","-11.38%"
"Aug 11","1,828.50","1,623.00","1,909.30","1,607.00","24.85K","12.30%"
"Jul 11","1,628.30","1,502.20","1,634.90","1,480.00","77.74K","8.39%"
"Jun 11","1,502.30","1,535.70","1,558.50","1,490.70","14.69K","-2.19%"
"May 11","1,535.90","1,572.90","1,576.60","1,471.00","84.31K","-1.29%"
"Apr 11","1,556.00","1,433.40","1,568.70","1,413.00","15.55K","8.14%"
"Mar 11","1,438.90","1,415.30","1,446.90","1,385.50","58.55K","2.10%"
"Feb 11","1,409.30","1,333.10","1,415.70","1,324.90","13.73K","5.66%"
"Jan 11","1,333.80","1,415.60","1,423.90","1,307.70","88.70K","-6.14%"
"Dec 10","1,421.10","1,386.80","1,431.10","1,362.50","16.14K","2.61%"
"Nov 10","1,385.00","1,360.30","1,423.20","1,327.50","106.91K","2.06%"
"Oct 10","1,357.10","1,309.00","1,383.90","1,309.00","3.17K","3.77%"
"Sep 10","1,307.80","1,252.30","1,315.20","1,239.00","8.09K","4.77%"
"Aug 10","1,248.30","1,181.80","1,249.40","1,174.70","8.71K","5.64%"
"Jul 10","1,181.70","1,241.70","1,242.40","1,158.70","60.70K","-5.12%"
"Jun 10","1,245.50","1,217.00","1,264.80","1,196.90","16.40K","2.75%"
"May 10","1,212.20","1,178.60","1,246.50","1,159.20","124.17K","2.72%"
"Apr 10","1,180.10","1,112.90","1,181.30","1,111.30","8.60K","6.00%"
"Mar 10","1,113.30","1,119.30","1,145.00","1,085.50","63.87K","-0.45%"
"Feb 10","1,118.30","1,081.00","1,127.40","1,045.20","17.64K","3.26%"
"Jan 10","1,083.00","1,097.10","1,161.20","1,073.20","113.97K","-1.11%"
"Dec 09","1,095.20","1,181.00","1,226.40","1,075.00","23.25K","-7.27%"
"Nov 09","1,181.10","1,043.50","1,195.00","1,043.50","127.74K","13.60%"
"Oct 09","1,039.70","1,007.40","1,070.20","986.80","3.43K","3.14%"
"Sep 09","1,008.00","954.20","1,019.80","948.70","8.65K","5.92%"
"Aug 09","951.70","952.60","971.10","931.50","7.37K","-0.21%"
"Jul 09","953.70","929.30","958.10","905.60","48.33K","2.87%"
"Jun 09","927.10","978.80","990.30","917.30","12.65K","-5.28%"
"May 09","978.80","884.00","980.40","881.50","83.23K","9.89%"
"Apr 09","890.70","918.60","932.50","865.00","17.10K","-3.46%"
"Mar 09","922.60","945.00","960.80","885.00","71.42K","-2.01%"
"Feb 09","941.50","929.00","1,004.90","889.80","13.41K","1.53%"
"Jan 09","927.30","881.50","930.30","805.60","78.17K","4.95%"
"Dec 08","883.60","817.20","882.90","740.00","9.30K","8.26%"
"Nov 08","816.20","728.80","824.00","707.00","60.05K","13.87%"
"Oct 08","716.80","878.00","925.70","681.00","3.28K","-18.01%"
"Sep 08","874.20","829.90","919.00","739.00","5.17K","5.41%"
"Aug 08","829.30","904.90","916.10","780.90","8.86K","-9.26%"
"Jul 08","913.90","943.60","986.20","893.30","103.25K","-1.33%"
"Jun 08","926.20","887.30","933.70","858.20","9.30K","4.38%"
"May 08","887.30","855.00","924.70","849.60","71.91K","2.84%"
"Apr 08","862.80","915.00","948.70","863.00","13.22K","-5.83%"
"Mar 08","916.20","984.20","1,014.60","912.00","70.80K","-5.75%"